Vertical	Category	Error Related To	Validated In (Page)	Error Message/Content	Action Button	Impact	Compatibility with Hotel	Shown to Users in 1st phase of flight x hotel	Figma Link
Flight	SYSTEM_TECHNICAL	RUNTIME_ERROR	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	NAMING_RULE_DATA_NOT_EXIST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	RESELLER_INFO_DATA_NOT_EXIST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_ORDER_UPDATE_ORDER_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	RESCHEDULE_FLOW	FAILED_RESCHEDULE_REQUEST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Coba Lagi; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	FAILED_RESCHEDULE_UNAPPLY	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Coba Lagi; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	FLIGHT_RESCHEDULE_CART_FAILED	Booking Form to Payment Page	Let’s find other flights The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	button name=Find Other Flights; style=PRIMARY; action=searchResultPage			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_VALIDATION_ERROR	Booking Form to Payment Page	Let’s find other flights The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	button name=Find Other Flights; style=PRIMARY; action=searchResultPage			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_NOT_MATCH	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_NOT_ALLOWED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	UPDATE_RESCHEDULE_FINAL_DATA_FAILED	Booking Form to Payment Page	Let's order again! Failed to save your order because there was a little problem	button name=Reload; style=PRIMARY; action=Stay			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_LOCK_INVALID	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_REQUEST_ALREADY_USED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	UPDATE_CREATE_ORDER_RESCHEDULE_REQUEST_LOG_FAILED	Booking Form to Payment Page	Let's order again! Failed to save your order because there was a little problem	button name=Reload; style=PRIMARY; action=Stay			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_INVALID	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_NOT_ALLOWED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
