_id	errorCode	errorMessage	priority	imageUrl	buttons	isActive	message.en.title	message.en.subTitle	message.id.title	message.id.subTitle	message.en.eventLabel	message.id.eventLabel
66d016804049db0001592cca	BOOKING_INTEGRATOR_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/16bab5ca-5355-4381-92f7-d280cfa9c49e-1638203900966-f63080e28dcd12acbf58a09133d4f812.png	[{'text': {'id': 'Cari penerbangan lain', 'en': 'Search other flights'}, 'link': '', 'scrollTo': '', 'style': 'SECONDARY', 'type': 'searchResultPage', 'eventLabel': 'integratorFailed'}, {'text': {'id': 'Coba lagi', 'en': 'Try again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'submitBooking', 'eventLabel': 'integratorFailed'}]	TRUE	Still can't connect with the airline	Please try again to continue your ticket booking to the payment process.	Belum berhasil terhubung dengan maskapai	Silakan coba lagi untuk melanjutkan pemesanan tiketmu ke proses pembayaran.	integratorFailed	integratorFailed
67a46e75fb696700013a085f	NO_SEAT	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/e5ad1381-eb3f-4d2f-a495-4e60da19c288-1711525695884-2bba237e0a76fd47eaa77aae903c60f5.png	[{'text': {'id': 'Cari penerbangan lain', 'en': 'Find another flight'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'noSeat'}]	TRUE	Tickets sold out	Let's find another flight with a similar schedule!	Tiket habis terjual	Ayo, cari penerbangan lain dengan jadwal serupa!	noSeat	noSeat
67e25b9231095c000111c40c	FORM_VALIDATOR_ERROR	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/d017d504-afba-4946-aa18-8a21bfd7ed1d-1711524934573-b82ed87d8cc1145323ea7f76cc79c5a8.png	[{'text': {'id': 'Oke, mengerti', 'en': 'OK, got it'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'bookingFormPage', 'eventLabel': 'formValidatorError'}]	TRUE	There is a problem with the passenger data	To continue to payment, check the passenger form again and make sure it is correct.	Ada masalah dengan data penumpang	Untuk lanjut ke pembayaran, cek lagi form penumpang dan pastikan sudah benar, ya!	formValidatorError	formValidatorError
681d82462c4b0d00016c56a9	FAILED_RESCHEDULE_REQUEST	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Try Again', 'en': 'Coba Lagi'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Just relax, we are working to solve it as quickly as possible. Please try again later.	Maaf ya, ada sedikit gangguan	Tenang, kami sedang beraksi mengatasi gangguan ini. Coba lagi nanti ya.	failedRescheduleRequest	failedRescheduleRequest
6825a6fcb56bad0001125789	FAILED_RESCHEDULE_UNAPPLY	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Try Again', 'en': 'Coba Lagi'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Just relax, we are working to solve it as quickly as possible. Please try again later.	Maaf ya, ada sedikit gangguan	Tenang, kami sedang beraksi mengatasi gangguan ini. Coba lagi nanti ya.	failedRescheduleUnapply	failedRescheduleUnapply
683427c5e67a600001d61a8d	FLIGHT_RESCHEDULE_CART_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/c7aaba29-ca8c-4220-a526-ff9b70b5cf2d-1638203899235-d592fe55434e3f5e3aa86626d0e04c5c.png	[{'text': {'id': 'Cari Penerbangan Lain', 'en': 'Find Other Flights'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'rescheduleError'}]	TRUE	Let’s find other flights	The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	Cari penerbangan lain yuk	Maskapai sedang tidak merespon atau ada gangguan. Kamu bisa cari penerbangan lain pada tanggal yang kamu mau.	flightRescheduleCartFailed	flightRescheduleCartFailed
683428a7ccd5b40001e84009	RESCHEDULE_VALIDATION_ERROR	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/c7aaba29-ca8c-4220-a526-ff9b70b5cf2d-1638203899235-d592fe55434e3f5e3aa86626d0e04c5c.png	[{'text': {'id': 'Cari Penerbangan Lain', 'en': 'Find Other Flights'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'rescheduleError'}]	TRUE	Let’s find other flights	The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	Cari penerbangan lain yuk	Maskapai sedang tidak merespon atau ada gangguan. Kamu bisa cari penerbangan lain pada tanggal yang kamu mau.	rescheduleValidationError	rescheduleValidationError
683429d0b36d89000110a133	RESCHEDULE_DATA_NOT_MATCH	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleDataNotMatch	rescheduleDataNotMatch
68342a44e67a600001d61a8e	RESCHEDULE_DATA_NOT_ALLOWED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleDataNotAllowed	rescheduleDataNotAllowed
68342b6837372f00012b34b5	UPDATE_RESCHEDULE_FINAL_DATA_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/16bab5ca-5355-4381-92f7-d280cfa9c49e-1638203900966-f63080e28dcd12acbf58a09133d4f812.png	[{'text': {'id': 'Muat ulang', 'en': 'Reload'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'Stay', 'eventLabel': 'rescheduleError'}]	TRUE	Let's order again!	Failed to save your order because there was a little problem	Coba pesan lagi yuk!	Pesananmu gagal tersimpan karena ada gangguan.	updateRescheduleFinalDataFailed	updateRescheduleFinalDataFailed
